"employee_id","name","team_id","hire_date","leave_date","role"
1,Anna Müller,1,2022-02-01,,Developer
2,Max Mustermann,2,2023-05-10,,Marketing Specialist
3,Tiffany,1,2020-10-05,2028-01-01,Project-Leader
4,Gregory,3,2021-12-27,2028-01-01,Human-Resources
5,Joshua,9,2020-12-21,2028-01-01,Secretary
6,Terrence,2,2023-02-07,2028-01-01,Project-Leader
7,Devin,4,2022-11-23,2028-01-01,Project-Leader
8,William,9,2023-01-26,2028-01-01,Software-Developer
9,Albert,12,2021-11-09,2028-01-01,Secretary
10,Jenny,10,2023-02-04,2028-01-01,Human-Resources
11,Raven,11,2020-06-15,2028-01-01,Software-Developer
12,John,3,2021-10-24,2028-01-01,Project-Leader
13,Shawna,2,2020-03-29,2028-01-01,Secretary
14,Marcus,5,2021-06-22,2028-01-01,Human-Resources
15,Beth,10,2020-07-22,2028-01-01,Secretary
16,Juan,11,2022-03-29,2028-01-01,Manager
17,Kevin,9,2022-05-18,2028-01-01,Manager
18,Matthew,3,2023-02-19,2028-01-01,Software-Developer
19,Jerry,4,2022-09-20,2028-01-01,Software-Developer
20,David,8,2020-05-24,2028-01-01,Software-Developer
21,Erica,12,2020-03-12,2028-01-01,Project-Leader
22,Christopher,3,2022-03-26,2028-01-01,Manager
23,Cody,6,2022-10-29,2028-01-01,Project-Leader
24,Jacob,10,2022-09-05,2028-01-01,Human-Resources
25,Mandy,3,2022-11-18,2028-01-01,Project-Leader
26,Eric,1,2020-07-24,2028-01-01,Manager
27,Victoria,2,2022-08-10,2028-01-01,Secretary
28,Michael,8,2022-08-12,2028-01-01,Project-Leader
29,Jessica,10,2022-08-17,2028-01-01,Project-Leader
30,Paul,7,2021-10-29,2028-01-01,Secretary
31,Stuart,4,2020-01-03,2028-01-01,Project-Leader
32,Karen,5,2022-10-06,2028-01-01,Secretary
33,Michelle,6,2022-01-19,2028-01-01,Software-Developer
34,Bryan,4,2020-05-27,2028-01-01,Software-Developer
35,Megan,6,2023-02-01,2028-01-01,Manager
36,Tamara,2,2021-02-10,2028-01-01,Software-Developer
37,Edward,7,2023-11-28,2028-01-01,Project-Leader
38,Robert,10,2022-06-22,2028-01-01,Secretary
39,Dakota,6,2020-09-05,2028-01-01,Manager
40,Brandy,8,2022-05-22,2028-01-01,Secretary
41,Sharon,11,2023-06-13,2028-01-01,Project-Leader
42,Breanna,1,2020-07-01,2028-01-01,Human-Resources
43,Donna,5,2021-04-20,2028-01-01,Software-Developer
44,Kimberly,4,2021-10-19,2028-01-01,Secretary
45,Lauren,4,2020-09-14,2028-01-01,Project-Leader
46,Brian,9,2021-05-21,2028-01-01,Software-Developer
47,Kyle,7,2020-03-16,2028-01-01,Human-Resources
48,Keith,6,2022-03-10,2028-01-01,Secretary
49,Stephanie,4,2023-06-13,2028-01-01,Software-Developer
50,Jorge,6,2023-08-13,2028-01-01,Secretary
51,Brittany,2,2022-10-11,2028-01-01,Project-Leader
52,Donna,7,2022-04-04,2028-01-01,Secretary
53,Amy,7,2021-10-28,2028-01-01,Human-Resources
54,Tracey,10,2020-10-11,2028-01-01,Software-Developer
55,Samuel,8,2022-02-16,2028-01-01,Software-Developer
56,Mark,7,2020-04-07,2028-01-01,Software-Developer
57,Karl,8,2022-04-09,2028-01-01,Secretary
58,Kyle,1,2022-11-06,2028-01-01,Project-Leader
59,Tracy,12,2020-08-16,2028-01-01,Project-Leader
60,Stephanie,1,2023-02-03,2028-01-01,Software-Developer
61,Sean,3,2021-09-24,2028-01-01,Software-Developer
62,Timothy,12,2021-08-17,2028-01-01,Project-Leader
63,Jessica,1,2021-06-03,2028-01-01,Secretary
64,Lisa,3,2023-08-04,2028-01-01,Manager
65,Wendy,6,2022-03-03,2028-01-01,Secretary
66,William,9,2023-04-27,2028-01-01,Software-Developer
67,Elizabeth,9,2020-11-19,2028-01-01,Software-Developer
68,Melissa,4,2022-01-06,2028-01-01,Secretary
69,Ashlee,4,2022-03-19,2028-01-01,Manager
70,James,5,2023-05-29,2028-01-01,Human-Resources
71,Peggy,12,2022-08-21,2028-01-01,Software-Developer
72,Herbert,6,2020-12-28,2028-01-01,Project-Leader
73,Fernando,4,2022-03-21,2028-01-01,Manager
74,Ryan,5,2022-09-02,2028-01-01,Manager
75,Karen,12,2021-08-21,2028-01-01,Software-Developer
76,Frank,7,2021-09-23,2028-01-01,Secretary
77,Jennifer,10,2021-10-03,2028-01-01,Human-Resources
78,Rose,7,2020-07-28,2028-01-01,Human-Resources
79,Andrew,2,2022-10-08,2028-01-01,Manager
80,Mary,12,2023-07-14,2028-01-01,Software-Developer
81,Curtis,5,2023-08-07,2028-01-01,Human-Resources
82,Kenneth,12,2021-03-03,2028-01-01,Human-Resources
83,Tyler,6,2022-08-21,2028-01-01,Project-Leader
84,Kevin,1,2021-09-05,2028-01-01,Project-Leader
85,Angela,3,2021-10-26,2028-01-01,Manager
86,Maria,9,2020-07-14,2028-01-01,Project-Leader
87,Angela,9,2020-02-11,2028-01-01,Secretary
88,Connor,12,2023-05-20,2028-01-01,Project-Leader
89,Alicia,11,2020-09-25,2028-01-01,Manager
90,Angela,10,2021-01-06,2028-01-01,Software-Developer
91,Rebecca,7,2021-04-26,2028-01-01,Software-Developer
92,John,9,2023-03-16,2028-01-01,Manager
93,Amanda,8,2020-03-25,2028-01-01,Project-Leader
94,Catherine,12,2021-02-27,2028-01-01,Project-Leader
95,Julie,9,2020-06-04,2028-01-01,Software-Developer
96,Chad,7,2021-09-07,2028-01-01,Manager
97,Derrick,3,2020-09-01,2028-01-01,Project-Leader
98,Daniel,9,2022-08-11,2028-01-01,Secretary
99,Vincent,7,2020-10-16,2028-01-01,Manager
100,Miguel,10,2020-11-28,2028-01-01,Human-Resources
101,Mary,7,2021-12-18,2028-01-01,Software-Developer
102,Amber,1,2021-12-19,2028-01-01,Software-Developer
103,Amy,6,2023-10-26,2028-01-01,Manager
104,Hunter,12,2020-08-22,2028-01-01,Manager
